
C:\Users\Nischal>netstat -aon

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1172
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       692
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       10136
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       900
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1612
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2064
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3396
  TCP    0.0.0.0:49676          0.0.0.0:0              LISTENING       976
  TCP    0.0.0.0:49679          0.0.0.0:0              LISTENING       992
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       4088
  TCP    127.0.0.1:6463         0.0.0.0:0              LISTENING       8960
  TCP    127.0.0.1:27060        0.0.0.0:0              LISTENING       10428
  TCP    127.0.0.1:61563        127.0.0.1:65001        ESTABLISHED     3824
  TCP    127.0.0.1:61738        0.0.0.0:0              LISTENING       2564
  TCP    127.0.0.1:61738        127.0.0.1:61756        ESTABLISHED     2564
  TCP    127.0.0.1:61756        127.0.0.1:61738        ESTABLISHED     8928
  TCP    127.0.0.1:65000        0.0.0.0:0              LISTENING       3824
  TCP    127.0.0.1:65001        0.0.0.0:0              LISTENING       3824
  TCP    127.0.0.1:65001        127.0.0.1:61563        ESTABLISHED     3824
  TCP    192.168.2.10:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.2.10:52193     98.126.244.26:429      ESTABLISHED     8636
  TCP    192.168.2.10:52697     157.240.2.20:443       ESTABLISHED     13748
  TCP    192.168.2.10:52810     184.51.18.23:443       ESTABLISHED     13748
  TCP    192.168.2.10:52816     151.101.22.214:443     ESTABLISHED     13748
  TCP    192.168.2.10:52829     151.101.2.167:443      ESTABLISHED     13748
  TCP    192.168.2.10:52832     52.37.65.185:443       ESTABLISHED     13748
